Sum of Value,Column Labels,,,,,
Row Labels,Bahrain,"Macao SAR, China",Oman,Qatar,United Arab Emirates,Grand Total
1965,,,101.2468214,,,101.2468214
1966,,,105.5443028,,,105.5443028
1967,,,162.3224926,,,162.3224926
1968,,,277.9308239,,,277.9308239
1969,,,342.5001673,,,342.5001673
1970,,,354.1062183,2760.395733,,3114.501951
1971,,,401.9046458,3251.262704,,3653.16735
1972,,,472.557281,3913.72652,,4386.283801
1973,,,598.6041823,5586.368202,,6184.972385
1974,,,1954.894726,15634.84775,,17589.74248
1975,,,2377.091342,15290.80582,27708.71955,45376.61671
1976,,,2760.526561,18901.47518,30886.57177,52548.57351
1977,,,2803.388304,19836.48665,34407.98129,57047.85624
1978,,,2653.276529,21102.19072,28735.80333,52491.27058
1979,,,3419.275063,27445.38412,33673.41934,64538.07853
1980,8537.597542,,5181.817158,34995.84058,42878.85438,91594.10966
1981,9269.146055,,5947.426921,34916.98756,45131.33568,95264.89621
1982,9446.158325,3915.571067,5856.339798,27400.9818,40244.83745,86863.88844
1983,9421.452327,3741.932195,5828.803849,20912.00779,35135.86864,75040.0648
1984,9590.777633,4169.228804,6164.849381,19644.50822,32655.37187,72224.73591
1985,8706.829176,4125.530247,6677.481724,16582.53078,30067.13416,66159.50609
1986,7041.488491,4450.06328,4690.490059,12685.64393,23727.6988,52595.38456
1987,7554.713708,5537.600577,4820.013142,12865.77167,23953.34054,54731.43964
1988,7958.11524,6212.562437,4994.503527,13562.77217,22476.97147,55204.92485
1989,8030.25395,7113.465094,5380.229641,14010.8925,24218.55275,58753.39393
1990,8528.760059,8312.175674,6448.134853,15447.59509,27989.30127,66725.96694
1991,9057.563375,9377.739572,5993.348171,14189.48223,26945.65915,65563.7925
1992,9088.63129,12126.05066,6289.301294,15614.97583,26864.18811,69983.14718
1993,9707.566955,13713.30585,6046.230265,14542.37514,26141.33065,70150.80886
1994,10138.47459,14979.04126,6038.149179,14892.49498,26495.82156,72543.98157
1995,10376.36425,16465.02637,6297.197627,16242.72129,27973.74282,77355.05236
1996,10523.08152,16357.4003,6882.594636,17698.72541,29813.37231,81275.17418
1997,10620.34343,16199.13528,7109.660475,21388.72409,30378.54534,85696.40862
1998,10005.23675,14771.49505,6330.726745,18693.32583,27681.31053,77482.0949
1999,10330.73654,13907.50458,7059.214725,21717.83737,29278.76862,82294.06183
2000,13590.52105,14127.56667,8710.987805,29926.36335,34207.53895,100562.9778
2001,12917.3955,14869.77842,8559.565811,28577.3016,32105.64787,97029.6892
2002,13279.0458,15777.58352,8670.263784,30523.49077,32355.4096,100605.7935
2003,14541.61605,17584.7896,9070.494699,35221.52643,34294.894,110713.3208
2004,16275.18042,22369.72801,10115.04361,43346.86426,37179.68189,129286.4982
2005,18418.07267,25189.66799,12398.59435,53207.33365,40298.52422,149512.1929
2006,19669.31955,30368.78652,14575.1604,61593.67297,42950.10058,169157.04
2007,21167.61871,36620.23463,16225.65999,67612.49404,42913.78403,184539.7914
2008,23043.02532,40867.55578,22963.37816,82990.07096,45720.0179,215584.0481
2009,19166.70824,40876.51527,17518.83331,61463.90358,32905.05385,171931.0143
2010,20386.01756,53045.98951,19920.64957,70870.22658,34341.91129,198564.7945
2011,22238.71195,67012.96343,21164.33576,89115.90149,39901.22092,239433.1335
2012,23063.13229,77078.82118,21533.8076,94407.40692,41712.12421,257795.2922
2013,24378.94483,90331.81913,20011.34778,96076.99638,42831.08913,273630.1972
2014,24855.21564,96038.05072,19309.61245,96732.40255,43962.71369,280897.995
Grand Total,470923.8168,817634.6787,369569.4177,1453395.093,1333144.214,4444667.22