Sum of Value,Column Labels,,,,,,,
Row Labels,Italy,Japan,Niger,Qatar,Uganda,United Arab Emirates,Grand Total,
1960,50199700,92500572,3395212,47309,6788211,92612,153023616,
1961,50536350,94943000,3493636,51355,7006629,100985,156131955,
1962,50879450,95832000,3596613,56187,7240155,112240,157716645,
1963,51252000,96812000,3703159,61647,7487411,125216,159441433,
1964,51675350,97826000,3811813,67487,7746181,138220,161265051,
1965,52112350,98883000,3921581,73543,8014376,150318,163155168,
1966,52519000,99790000,4032210,79735,8292747,161077,164874769,
1967,52900500,100725000,4144238,86161,8580632,171781,166608312,
1968,53235750,101061000,4258415,93043,8872866,185312,167706386,
1969,53537950,103172000,4375837,100697,9162773,205570,170554827,
1970,53821850,104345000,4497355,109329,9446024,235434,172454992,
1971,54073490,105697000,4623121,119246,9720365,275160,174508382,
1972,54381345,107188000,4753054,130377,9988321,324069,176765166,
1973,54751406,108079000,4887484,142111,10256342,382823,178499166,
1974,55110868,110162000,5026744,153593,10533627,451948,181438780,
1975,55441001,111940000,5171029,164333,10827071,531265,184074699,
1976,55718260,112771000,5320869,173759,11139772,622051,185745711,
1977,55955411,113863000,5476206,182370,11470741,722849,187670577,
1978,56155143,114898000,5635954,192018,11817951,827394,189526460,
1979,56317749,115870000,5798584,205244,12177677,927303,191296557,
1980,56433883,116782000,5963159,223715,12547754,1016789,192967300,
1981,56501675,117648000,6129762,248053,12927007,1093108,194547605,
1982,56543548,118449000,6299343,277242,13318149,1158477,196045759,
1983,56564074,119259000,6472971,309276,13727427,1218223,197550971,
1984,56576718,120018000,6652110,341286,14163214,1280278,199031606,
1985,56593071,120754000,6838170,371071,14631089,1350433,200537834,
1986,56596155,121492000,7031675,398326,15133740,1430548,202082444,
1987,56601931,122091000,7233482,423327,15668278,1518991,203537009,
1988,56629288,122613000,7445788,445203,16227778,1613904,204974961,
1989,56671781,123116000,7671233,463062,16802258,1712117,206436451,
1990,56719240,123537000,7911884,476478,17384369,1811458,207840429,
1991,56758521,123921000,8168834,485114,17973428,1913190,209220087,
1992,56797087,124229000,8442330,489668,18571527,2019014,210548626,
1993,56831821,124536000,8732500,492120,19177660,2127863,211897964,
1994,56843400,124961000,9039088,495179,19791266,2238281,213368214,
1995,56844303,125439000,9361912,501019,20412967,2350192,214909393,
1996,56860281,125757000,9701730,511864,21041468,2467726,216340069,
1997,56890372,126057000,10058960,528213,21679497,2595220,217809262,
1998,56906744,126400000,10432657,548618,22336812,2733770,219358601,
1999,56916317,126631000,10821434,570643,23026357,2884188,220849939,
2000,56942108,126843000,11224523,593453,23757636,3050128,222410848,
2001,56974100,127149000,11642308,613720,24534668,3217865,224131661,
2002,57059007,127445000,12075991,634388,25355794,3394060,225964240,
2003,57313203,127718000,12526725,668165,26217760,3625798,228069651,
2004,57685327,127761000,12996012,732096,27114742,3975945,230265122,
2005,57969484,127773000,13485436,836924,28042413,4481976,232589233,
2006,58143979,127854000,13995530,988448,29000925,5171255,235154137,
2007,58438310,128001000,14527631,1178955,29991958,6010100,238147954,
2008,58826731,128063000,15085130,1388962,31014427,6900142,241278392,
2009,59095365,128047000,15672194,1591151,32067125,7705423,244178258,
2010,59277417,128070000,16291990,1765513,33149417,8329453,246883790,
2011,59379449,127817277,16946485,1905437,34260342,8734722,249043712,
2012,59539717,127561489,17635782,2015624,35400620,8952542,251105774,
2013,60233948,127338621,18358863,2101288,36573387,9039978,253646085,
2014,61336387,127131800,19113728,2172065,37782971,9086139,256623090,
Grand Total,3082869665,6454620759,471910464,30075210,987376102,134952923,11161805123,